crime,year,long,lat,city,neighborhood
LARCENY-FROM VEHICLE,2012,-84.4254,33.7468,Atlanta,West End
LARCENY-NON VEHICLE,2012,-84.32137,33.72622,Atlanta,East Atlanta
LARCENY-FROM VEHICLE,2012,-84.3645,33.77073,Atlanta,Old Fourth Ward
AGG ASSAULT,2012,-84.4393,33.75197,Atlanta,Mozley Park
LARCENY-NON VEHICLE,2012,-84.34813,33.75605,Atlanta,Edgewood
LARCENY-NON VEHICLE,2012,-84.39636,33.74852,Atlanta,Downtown
AUTO THEFT,2012,-84.49403000000002,33.6697,Atlanta,Greenbriar
LARCENY-FROM VEHICLE,2012,-84.3826,33.76491,Atlanta,Downtown
ROBBERY-PEDESTRIAN,2012,-84.47292,33.7881,Atlanta,Carey Park
LARCENY-FROM VEHICLE,2012,-84.37897,33.783840000000005,Atlanta,Midtown
LARCENY-FROM VEHICLE,2012,-84.38265,33.7329,Atlanta,Summerhill
AUTO THEFT,2012,-84.38075,33.75741,Atlanta,Downtown
LARCENY-FROM VEHICLE,2012,-84.40653,33.76023,Atlanta,Vine City
LARCENY-FROM VEHICLE,2012,-84.37756999999998,33.773740000000004,Atlanta,Midtown
AUTO THEFT,2012,-84.35763,33.77217,Atlanta,Poncey-Highland
LARCENY-NON VEHICLE,2012,-84.34813,33.75605,Atlanta,Edgewood
LARCENY-NON VEHICLE,2012,-84.44539,33.78541,Atlanta,Rockdale
LARCENY-FROM VEHICLE,2012,-84.4937,33.68077,Atlanta,Greenbriar
AUTO THEFT,2012,-84.37209,33.71562,Atlanta,Chosewood Park
LARCENY-FROM VEHICLE,2012,-84.40999000000002,33.76771,Atlanta,English Avenue
LARCENY-NON VEHICLE,2012,-84.3865,33.732459999999996,Atlanta,Summerhill
AUTO THEFT,2012,-84.35423,33.752629999999996,Atlanta,Reynoldstown
LARCENY-FROM VEHICLE,2012,-84.37578,33.828920000000004,Atlanta,Garden Hills
AGG ASSAULT,2012,-84.47348000000002,33.78379,Atlanta,Carey Park
