,crime,year,long,lat,city,neighborhood
0,LARCENY/THEFT,2016,-78.8449356589375,42.8939968426973,Buffalo,.
4,LARCENY/THEFT,2016,-78.8294302693266,42.926930288516004,Buffalo,.
5,LARCENY/THEFT,2016,-78.8325742862794,42.8546769997275,Buffalo,.
7,BURGLARY,2016,-78.8550829819382,42.8847537523921,Buffalo,.
10,LARCENY/THEFT,2016,-78.8249711615851,42.9515247880325,Buffalo,.
13,ASSAULT,2016,-78.8491651254109,42.905593713570106,Buffalo,.
24,ASSAULT,2016,-78.8505630892915,42.900870987863605,Buffalo,.
26,ROBBERY,2016,-78.8820311152574,42.9019456398308,Buffalo,.
32,UUV,2016,-78.84331908085791,42.873393925987,Buffalo,.
33,LARCENY/THEFT,2016,-78.8242894263842,42.9778397412646,Buffalo,.
34,LARCENY/THEFT,2016,-78.878923870874,42.9546359321395,Buffalo,.
35,LARCENY/THEFT,2016,-78.8120720097065,42.8573265004274,Buffalo,.
36,ASSAULT,2016,-78.85400968423001,42.903826280196206,Buffalo,.
37,LARCENY/THEFT,2016,-78.8644951106368,42.8950205927581,Buffalo,.
39,ASSAULT,2016,-78.8569608479733,42.887520605236794,Buffalo,.
41,LARCENY/THEFT,2016,-78.81461909252009,42.86025735711421,Buffalo,.
42,UUV,2016,-78.8772418256045,42.8994336662882,Buffalo,.
43,BURGLARY,2016,-78.9032751106557,42.953829620539395,Buffalo,.
44,LARCENY/THEFT,2016,-78.8369171241637,42.9407155852655,Buffalo,.
46,LARCENY/THEFT,2016,-78.8062972564955,42.94190430241861,Buffalo,.
50,BURGLARY,2016,-78.80938982885709,42.9399226571804,Buffalo,.
53,ROBBERY,2016,-78.8134065667785,42.9454846908501,Buffalo,.
55,LARCENY/THEFT,2016,-78.84802919618441,42.9192608389246,Buffalo,.
56,UUV,2016,-78.8106734156805,42.94367920430889,Buffalo,.
58,LARCENY/THEFT,2016,-78.80080517542059,42.9094823420335,Buffalo,.
59,LARCENY/THEFT,2016,-78.8789882594442,42.9446755694354,Buffalo,.
61,LARCENY/THEFT,2016,-78.8750492078922,42.885582663776496,Buffalo,.
62,UUV,2016,-78.8134084689205,42.9058632281904,Buffalo,.
64,UUV,2016,-78.87696340000002,42.89110460000001,Buffalo,.
65,ASSAULT,2016,-78.81304455730779,42.9184309057371,Buffalo,.
66,LARCENY/THEFT,2016,-78.82350631251309,42.9398390332554,Buffalo,.
67,BURGLARY,2016,-78.844964368873,42.8831309898169,Buffalo,.
68,BURGLARY,2016,-78.8868614898913,42.958374237680395,Buffalo,.
70,BURGLARY,2016,-78.80811672684399,42.9184681263646,Buffalo,.
73,LARCENY/THEFT,2016,-78.887032077954,42.9018776051817,Buffalo,.
75,ROBBERY,2016,-78.87639282404069,42.8935364978662,Buffalo,.
76,BURGLARY,2016,-78.8841588422742,42.878973759000296,Buffalo,.
78,BURGLARY,2016,-78.8809385760395,42.8920705135695,Buffalo,.
79,ASSAULT,2016,-78.8136875743384,42.930694707533,Buffalo,.
80,LARCENY/THEFT,2016,-78.8695425615588,42.8728374748932,Buffalo,.
81,LARCENY/THEFT,2016,-78.80778759086209,42.8894934115982,Buffalo,.
83,ROBBERY,2016,-78.8000497834026,42.9069594077275,Buffalo,.
84,UUV,2016,-78.8893161297447,42.9486270218493,Buffalo,.
86,UUV,2016,-78.8159120306194,42.89666617137321,Buffalo,.
87,ROBBERY,2016,-78.88335696568379,42.9059756730043,Buffalo,.
91,LARCENY/THEFT,2016,-78.8139938727835,42.932724551199996,Buffalo,.
92,SEXUAL ABUSE,2016,-78.903343362621,42.9381620059549,Buffalo,.
95,LARCENY/THEFT,2016,-78.8090862225538,42.8669909505437,Buffalo,.
96,LARCENY/THEFT,2016,-78.8699829368663,42.911552569379204,Buffalo,.
97,UUV,2016,-78.84712161911649,42.89904056946921,Buffalo,.
98,ASSAULT,2016,-78.9008300404128,42.9505163648438,Buffalo,.
103,UUV,2016,-78.8016429431573,42.850679176114,Buffalo,.
104,LARCENY/THEFT,2016,-78.8880624903923,42.906484581171796,Buffalo,.
105,UUV,2016,-78.8291193841347,42.9144737843621,Buffalo,.
106,BURGLARY,2016,-78.88423676008709,42.9563781554462,Buffalo,.
107,LARCENY/THEFT,2016,-78.87344690326108,42.9019677147866,Buffalo,.
109,LARCENY/THEFT,2016,-78.9037361682124,42.9562977983936,Buffalo,.
111,BURGLARY,2016,-78.8811710343939,42.9093563480689,Buffalo,.
112,ROBBERY,2016,-78.825416410064,42.89354588111979,Buffalo,.
113,LARCENY/THEFT,2016,-78.8109629069107,42.8599902943243,Buffalo,.
114,LARCENY/THEFT,2016,-78.88981139444999,42.927991862164795,Buffalo,.
115,LARCENY/THEFT,2016,-78.878525,42.875731,Buffalo,.
117,LARCENY/THEFT,2016,-78.8766202592841,42.917901542236,Buffalo,.
118,ROBBERY,2016,-78.8904451912957,42.897725242166,Buffalo,.
119,BURGLARY,2016,-78.90556499751109,42.941667914585096,Buffalo,.
120,LARCENY/THEFT,2016,-78.8010068752029,42.9137624041179,Buffalo,.
121,BURGLARY,2016,-78.8817498755748,42.89780311506561,Buffalo,.
122,ASSAULT,2016,-78.81503554215294,42.84195467456088,Buffalo,.
123,LARCENY/THEFT,2016,-78.83125847266692,42.935898783363825,Buffalo,.
124,UUV,2016,-78.8915858614966,42.931910824739596,Buffalo,.
126,LARCENY/THEFT,2016,-78.81206074934009,42.935060714713,Buffalo,.
128,ASSAULT,2016,-78.8861107844967,42.9424069880831,Buffalo,.
129,ASSAULT,2016,-78.83757577775391,42.9101748725034,Buffalo,.
130,LARCENY/THEFT,2016,-78.81313727135559,42.923287370727,Buffalo,.
131,LARCENY/THEFT,2016,-78.53007223856551,42.6431162914877,Buffalo,.
132,ASSAULT,2016,-78.871133917634,42.9021930630219,Buffalo,.
135,LARCENY/THEFT,2016,-78.87462766275151,42.8911538241481,Buffalo,.
138,ASSAULT,2016,-73.92494479999998,40.676809399999996,Buffalo,.
142,LARCENY/THEFT,2016,-78.866555,42.980326700000006,Buffalo,.
143,LARCENY/THEFT,2016,-78.8242894263842,42.9778397412646,Buffalo,.
148,THEFT OF SERVICES,2016,-78.8993632087499,42.948544847935295,Buffalo,.
150,LARCENY/THEFT,2016,-78.8040918243683,42.9309056848627,Buffalo,.
196,LARCENY/THEFT,2016,-78.839303273983,42.90366803466671,Buffalo,.
221,LARCENY/THEFT,2016,-78.8705865,42.94610529999999,Buffalo,.
222,ROBBERY,2016,-78.8263501909385,42.9507535890669,Buffalo,.
224,BURGLARY,2016,-78.80528291354861,42.867409970954704,Buffalo,.
231,LARCENY/THEFT,2016,-78.8714188556915,42.8912442599671,Buffalo,.
244,ASSAULT,2016,-78.85519367965291,42.9014637390176,Buffalo,.
245,LARCENY/THEFT,2016,-78.8157762658703,42.939992183362,Buffalo,.
246,LARCENY/THEFT,2016,-78.8842528597086,42.8983179007446,Buffalo,.
248,LARCENY/THEFT,2016,-78.8709872938163,42.9188213121672,Buffalo,.
249,ASSAULT,2016,-78.80639374675309,42.9375962516083,Buffalo,.
